"","year","effort","homework","grades"
"227","Tenth grade","Trying best to do well in school","About the right amount","A"
"228","Seventh grade","Trying best to do well in school","About the right amount","B"
"229","Eighth grade","Trying best to do well in school","Too much homework","B"
"230","Twelfth grade","Could try a little harder","About the right amount","B"
"231","Sixth grade","Could try a little harder","About the right amount","C"
"232","Seventh grade","Trying best to do well in school","About the right amount","B"
"233","Ninth grade","Trying best to do well in school","Too much homework","A"
"234","Seventh grade","Trying best to do well in school","Too little homework","Less than a C"
"235","Eleventh grade","Could try a little harder","About the right amount","A"
"236","Seventh grade","Could try a little harder","Too much homework","B"
"237","Eighth grade","Trying best to do well in school","Too much homework","A"
"238","Ninth grade","Trying best to do well in school","Too much homework","A"
"239","Seventh grade","Trying best to do well in school","About the right amount","B"
"240","Eighth grade","Trying best to do well in school","About the right amount","B"
"241","Twelfth grade","Could try a little harder","About the right amount","B"
"242","Eleventh grade","Could try a little harder","Too much homework","B"
"243","Eighth grade","Trying best to do well in school","Too much homework","A"
"244","Tenth grade","Trying best to do well in school","About the right amount","A"
"245","Seventh grade","Could try a little harder","About the right amount","B"
"246","Tenth grade","Could try a little harder","About the right amount","B"
"247","Twelfth grade","Trying best to do well in school","About the right amount","C"
"248","Ninth grade","Trying best to do well in school","About the right amount","A"
"249","Tenth grade","Could try a little harder","About the right amount","B"
"250","Seventh grade","Could try a little harder","About the right amount","C"
"251","Eighth grade","Could try a little harder","About the right amount","B"
"252","Eighth grade","Could try a little harder","About the right amount","B"
"253","Sixth grade","Trying best to do well in school","About the right amount","A"
"254","Eighth grade","Could try a little harder","Too much homework","B"
"255","Eighth grade","Could try a little harder","Too much homework","A"
"256","Eighth grade","Trying best to do well in school","About the right amount","A"
"257","Ninth grade","Could try a little harder","Too much homework","A"
"258","Ninth grade","Could try a little harder","About the right amount","A"
"259","Eighth grade","Trying best to do well in school","Too much homework","B"
"260","Twelfth grade","Trying best to do well in school","About the right amount","Less than a C"
"261","Eleventh grade","Could try a little harder","About the right amount","B"
"262","Seventh grade","Could try a little harder","Too little homework","B"
"263","Eleventh grade","Could try a little harder","Too much homework","A"
"264","Sixth grade","Trying best to do well in school","Too much homework","A"
"265","Eleventh grade","Could try a little harder","About the right amount","B"
"266","Tenth grade","Trying best to do well in school","Too much homework","C"
"267","Tenth grade","Could try a little harder","About the right amount","C"
"268","Tenth grade","Could try a little harder","About the right amount","A"
"269","Eleventh grade","Trying best to do well in school","About the right amount","A"
"270","Tenth grade","Trying best to do well in school","About the right amount","C"
"271","Eighth grade","Trying best to do well in school","Too little homework","C"
"272","Eighth grade","Trying best to do well in school","About the right amount","A"
"273","Eleventh grade","Could try a little harder","About the right amount","B"
"274","Tenth grade","Could try a little harder","About the right amount","C"
"275","Twelfth grade","Could try a little harder","About the right amount","B"
"276","Ninth grade","Could try a little harder","About the right amount","B"
"277","Ninth grade","Trying best to do well in school","Too much homework","A"
"278","Ninth grade","Trying best to do well in school","About the right amount","B"
"279","Tenth grade","Could try a little harder","About the right amount","C"
"280","Twelfth grade","Trying best to do well in school","About the right amount","B"
"281","Seventh grade","Trying best to do well in school","Too much homework","C"
"282","Sixth grade","Trying best to do well in school","About the right amount","A"
"283","Seventh grade","Trying best to do well in school","Too much homework","A"
"284","Eighth grade","Trying best to do well in school","About the right amount","B"
"285","Twelfth grade","Trying best to do well in school","About the right amount","A"
"286","Eighth grade","Could try a little harder","About the right amount","A"
"287","Tenth grade","Trying best to do well in school","Too much homework","C"
"288","Ninth grade","Trying best to do well in school","About the right amount","A"
"289","Eleventh grade","Trying best to do well in school","About the right amount","C"
"290","Tenth grade","Trying best to do well in school","About the right amount","A"
"291","Eighth grade","Trying best to do well in school","About the right amount","B"
"292","Seventh grade","Could try a little harder","Too much homework","B"
"293","Twelfth grade","Could try a little harder","Too little homework","A"
"294","Ninth grade","Could try a little harder","Too much homework","B"
"295","Eighth grade","Could try a little harder","About the right amount","A"
"296","Seventh grade","Trying best to do well in school","Too much homework","C"
"297","Seventh grade","Trying best to do well in school","About the right amount","A"
"298","Eleventh grade","Could try a little harder","Too much homework","C"
"299","Eleventh grade","Could try a little harder","About the right amount","A"
"300","Sixth grade","Trying best to do well in school","Too much homework","B"
"301","Eighth grade","Could try a little harder","About the right amount","B"
"302","Ninth grade","Could try a little harder","About the right amount","A"
"303","Ninth grade","Trying best to do well in school","About the right amount","A"
"304","Ninth grade","Could try a little harder","Too little homework","B"
"305","Twelfth grade","Trying best to do well in school","Too little homework","A"
"306","Eleventh grade","Could try a little harder","About the right amount","B"
"307","Ninth grade","Trying best to do well in school","About the right amount","B"
"308","Twelfth grade","Trying best to do well in school","Too much homework","A"
"309","Seventh grade","Could try a little harder","About the right amount","B"
"310","Eighth grade","Could try a little harder","Too much homework","C"
"311","Ninth grade","Trying best to do well in school","About the right amount","A"
"312","Sixth grade","Trying best to do well in school","About the right amount","A"
"313","Eighth grade","Could try a little harder","About the right amount","A"
"314","Sixth grade","Could try a little harder","About the right amount","B"
"315","Seventh grade","Could try a little harder","About the right amount","B"
"316","Tenth grade","Could try a little harder","About the right amount","B"
"317","Ninth grade","Trying best to do well in school","About the right amount","C"
"318","Sixth grade","Trying best to do well in school","About the right amount","A"
"319","Tenth grade","Trying best to do well in school","About the right amount","B"
"320","Eighth grade","Trying best to do well in school","About the right amount","A"
"321","Tenth grade","Could try a little harder","About the right amount","B"
"322","Twelfth grade","Trying best to do well in school","About the right amount","A"
"323","Eleventh grade","Could try a little harder","Too much homework","A"
"324","Eleventh grade","Could try a little harder","Too little homework","Less than a C"
"325","Ninth grade","Could try a little harder","Too much homework","C"
"326","Eighth grade","Could try a little harder","About the right amount","C"
"327","Twelfth grade","Could try a little harder","About the right amount","B"
"328","Tenth grade","Could try a little harder","Too much homework","B"
"329","Seventh grade","Trying best to do well in school","About the right amount","A"
"330","Sixth grade","Trying best to do well in school","About the right amount","C"
"331","Ninth grade","Could try a little harder","About the right amount","A"
"332","Sixth grade","Could try a little harder","About the right amount","A"
"333","Seventh grade","Could try a little harder","Too little homework","B"
"334","Twelfth grade","Could try a little harder","About the right amount","C"
"335","Tenth grade","Could try a little harder","About the right amount","C"
"336","Sixth grade","Could try a little harder","About the right amount","A"
"337","Sixth grade","Could try a little harder","About the right amount","Less than a C"
"338","Sixth grade","Trying best to do well in school","About the right amount","B"
"339","Twelfth grade","Trying best to do well in school","About the right amount","A"
"340","Twelfth grade","Could try a little harder","About the right amount","B"
"341","Eighth grade","Could try a little harder","About the right amount","B"
"342","Eighth grade","Could try a little harder","About the right amount","B"
"343","Seventh grade","Could try a little harder","Too much homework","B"
"344","Ninth grade","Trying best to do well in school","About the right amount","B"
"345","Eleventh grade","Could try a little harder","About the right amount","C"
"346","Tenth grade","Trying best to do well in school","Too much homework","B"
"347","Tenth grade","Trying best to do well in school","Too much homework","A"
"348","Eleventh grade","Could try a little harder","Too much homework","B"
"349","Eleventh grade","Could try a little harder","About the right amount","A"
"350","Eighth grade","Trying best to do well in school","Too little homework","A"
"351","Sixth grade","Trying best to do well in school","Too much homework","B"
"352","Tenth grade","Could try a little harder","Too much homework","B"
"353","Sixth grade","Trying best to do well in school","About the right amount","A"
"354","Twelfth grade","Trying best to do well in school","About the right amount","B"
"355","Eleventh grade","Trying best to do well in school","About the right amount","A"
"356","Seventh grade","Trying best to do well in school","Too much homework","A"
"357","Eighth grade","Trying best to do well in school","About the right amount","A"
"358","Eleventh grade","Trying best to do well in school","Too much homework","B"
"359","Tenth grade","Could try a little harder","Too much homework","A"
"360","Twelfth grade","Trying best to do well in school","Too much homework","C"
"361","Sixth grade","Could try a little harder","Too little homework","B"
"362","Eighth grade","Could try a little harder","About the right amount","A"
"363","Eighth grade","Could try a little harder","Too much homework","C"
"364","Ninth grade","Trying best to do well in school","Too much homework","B"
"365","Eighth grade","Trying best to do well in school","Too much homework","A"
"366","Tenth grade","Could try a little harder","Too much homework","B"
"367","Seventh grade","Could try a little harder","About the right amount","C"
"368","Eleventh grade","Could try a little harder","Too little homework","B"
"369","Twelfth grade","Trying best to do well in school","About the right amount","A"
"370","Tenth grade","Trying best to do well in school","About the right amount","C"
"371","Sixth grade","Could try a little harder","About the right amount","B"
"372","Twelfth grade","Could try a little harder","About the right amount","B"
"373","Tenth grade","Trying best to do well in school","About the right amount","B"
"374","Sixth grade","Trying best to do well in school","About the right amount","B"
"375","Eleventh grade","Trying best to do well in school","About the right amount","B"
"376","Seventh grade","Trying best to do well in school","About the right amount","A"
"377","Eighth grade","Trying best to do well in school","Too much homework","A"
"378","Eleventh grade","Trying best to do well in school","Too little homework","B"
"379","Ninth grade","Could try a little harder","About the right amount","B"
"380","Ninth grade","Trying best to do well in school","Too much homework","B"
"381","Sixth grade","Could try a little harder","Too much homework","A"
"382","Eighth grade","Could try a little harder","About the right amount","C"
"383","Sixth grade","Trying best to do well in school","Too much homework","A"
"384","Sixth grade","Could try a little harder","About the right amount","B"
"385","Seventh grade","Trying best to do well in school","Too little homework","A"
"386","Sixth grade","Trying best to do well in school","Too much homework","A"
"387","Twelfth grade","Trying best to do well in school","About the right amount","A"
"388","Twelfth grade","Could try a little harder","About the right amount","A"
"389","Sixth grade","Could try a little harder","About the right amount","A"
"390","Eleventh grade","Could try a little harder","About the right amount","A"
"391","Eleventh grade","Could try a little harder","About the right amount","B"
"392","Ninth grade","Could try a little harder","About the right amount","A"
"393","Ninth grade","Trying best to do well in school","About the right amount","C"
"394","Eighth grade","Could try a little harder","Too much homework","C"
"395","Ninth grade","Could try a little harder","About the right amount","B"
"396","Seventh grade","Could try a little harder","About the right amount","B"
"397","Seventh grade","Could try a little harder","About the right amount","B"
"398","Ninth grade","Trying best to do well in school","About the right amount","C"
"399","Tenth grade","Could try a little harder","About the right amount","B"
"400","Tenth grade","Trying best to do well in school","About the right amount","A"
"401","Tenth grade","Trying best to do well in school","About the right amount","B"
"402","Eleventh grade","Trying best to do well in school","About the right amount","A"
"403","Sixth grade","Could try a little harder","Too much homework","B"
"404","Eleventh grade","Trying best to do well in school","About the right amount","B"
"405","Ninth grade","Could try a little harder","Too little homework","B"
"406","Sixth grade","Trying best to do well in school","About the right amount","B"
"407","Seventh grade","Trying best to do well in school","Too little homework","B"
"408","Seventh grade","Trying best to do well in school","About the right amount","B"
"409","Eleventh grade","Could try a little harder","About the right amount","B"
"410","Sixth grade","Trying best to do well in school","About the right amount","A"
"411","Twelfth grade","Trying best to do well in school","Too little homework","B"
"412","Seventh grade","Trying best to do well in school","About the right amount","A"
"413","Eleventh grade","Could try a little harder","About the right amount","A"
"414","Ninth grade","Could try a little harder","About the right amount","A"
"415","Seventh grade","Trying best to do well in school","About the right amount","A"
"416","Eleventh grade","Trying best to do well in school","About the right amount","B"
"417","Ninth grade","Trying best to do well in school","About the right amount","B"
"418","Ninth grade","Could try a little harder","About the right amount","A"
"419","Tenth grade","Could try a little harder","Too much homework","B"
"420","Twelfth grade","Could try a little harder","About the right amount","A"
"421","Eleventh grade","Trying best to do well in school","Too little homework","B"
"422","Ninth grade","Trying best to do well in school","About the right amount","A"
"423","Ninth grade","Could try a little harder","About the right amount","B"
"424","Sixth grade","Trying best to do well in school","About the right amount","A"
"425","Tenth grade","Trying best to do well in school","Too much homework","B"
"426","Eleventh grade","Could try a little harder","Too little homework","A"
"427","Tenth grade","Trying best to do well in school","About the right amount","A"
"428","Tenth grade","Trying best to do well in school","Too much homework","C"
"429","Tenth grade","Could try a little harder","About the right amount","B"
"430","Eighth grade","Trying best to do well in school","About the right amount","A"
"431","Eleventh grade","Could try a little harder","About the right amount","B"
"432","Tenth grade","Trying best to do well in school","Too little homework","A"
"433","Ninth grade","Trying best to do well in school","About the right amount","B"
"434","Eighth grade","Could try a little harder","Too much homework","B"
"435","Twelfth grade","Could try a little harder","Too little homework","C"
"436","Tenth grade","Could try a little harder","About the right amount","B"
"437","Seventh grade","Could try a little harder","About the right amount","A"
"438","Tenth grade","Trying best to do well in school","About the right amount","B"
"439","Seventh grade","Trying best to do well in school","About the right amount","B"
"440","Sixth grade","Trying best to do well in school","About the right amount","A"
"441","Ninth grade","Trying best to do well in school","About the right amount","A"
"442","Ninth grade","Trying best to do well in school","About the right amount","B"
"443","Twelfth grade","Could try a little harder","About the right amount","C"
"444","Ninth grade","Trying best to do well in school","Too much homework","A"
"445","Tenth grade","Could try a little harder","Too much homework","C"
"446","Eleventh grade","Could try a little harder","About the right amount","B"
"447","Ninth grade","Could try a little harder","About the right amount","A"
"448","Sixth grade","Trying best to do well in school","About the right amount","A"
"449","Twelfth grade","Trying best to do well in school","About the right amount","B"
"450","Tenth grade","Could try a little harder","About the right amount","A"
"451","Eighth grade","Trying best to do well in school","About the right amount","A"
"452","Sixth grade","Could try a little harder","About the right amount","B"
"453","Twelfth grade","Trying best to do well in school","About the right amount","B"
"454","Eighth grade","Could try a little harder","Too much homework","B"
"455","Sixth grade","Trying best to do well in school","Too much homework","A"
"456","Twelfth grade","Could try a little harder","About the right amount","C"
"457","Eleventh grade","Trying best to do well in school","Too much homework","A"
"458","Twelfth grade","Could try a little harder","About the right amount","A"
"459","Seventh grade","Could try a little harder","About the right amount","Less than a C"
"460","Twelfth grade","Could try a little harder","Too much homework","A"
"461","Eleventh grade","Could try a little harder","About the right amount","C"
"462","Tenth grade","Could try a little harder","Too much homework","B"
"463","Tenth grade","Could try a little harder","About the right amount","B"
"464","Tenth grade","Could try a little harder","Too much homework","B"
"465","Eleventh grade","Trying best to do well in school","About the right amount","C"
"466","Twelfth grade","Trying best to do well in school","About the right amount","B"
"467","Sixth grade","Trying best to do well in school","About the right amount","B"
"468","Ninth grade","Could try a little harder","Too little homework","Less than a C"
"469","Tenth grade","Trying best to do well in school","About the right amount","B"
"470","Eleventh grade","Could try a little harder","About the right amount","B"
"471","Seventh grade","Trying best to do well in school","About the right amount","A"
"472","Sixth grade","Trying best to do well in school","About the right amount","B"
"473","Sixth grade","Could try a little harder","Too much homework","B"
"474","Seventh grade","Trying best to do well in school","Too much homework","B"
"475","Seventh grade","Could try a little harder","Too much homework","A"
"476","Tenth grade","Could try a little harder","Too much homework","B"
"477","Ninth grade","Could try a little harder","About the right amount","B"
"478","Eighth grade","Could try a little harder","Too little homework","A"
"479","Ninth grade","Could try a little harder","About the right amount","B"
"480","Tenth grade","Could try a little harder","About the right amount","Less than a C"
"481","Eleventh grade","Trying best to do well in school","Too much homework","B"
"482","Seventh grade","Trying best to do well in school","Too little homework","A"
"483","Eleventh grade","Trying best to do well in school","About the right amount","A"
"484","Ninth grade","Could try a little harder","About the right amount","C"
"485","Seventh grade","Trying best to do well in school","About the right amount","B"
"486","Eighth grade","Could try a little harder","About the right amount","A"
"487","Twelfth grade","Could try a little harder","About the right amount","B"
"488","Tenth grade","Could try a little harder","About the right amount","B"
"489","Seventh grade","Trying best to do well in school","About the right amount","A"
"490","Sixth grade","Trying best to do well in school","About the right amount","B"
"491","Sixth grade","Could try a little harder","About the right amount","C"
