"InternetFreq","VisitSocial","ProfileSetting","FutureConcern","KindUnkind","MeanToYou","SocialSite","Chat","StreamVideo","PostComments","PrivateMessage","TagPhoto","PostPhoto","OthersIntercede","YouIntercede","JoinHarassment","SoughtAdvice","AskedWho","Face2FaceArgue","Parents","EndFriendship","Nervous","FeelGood","LieAboutAge","SharePassword"
"About once a day","About once a day","Private (friends only)","Yes","Depends","No","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes",,,,,,"No","No","No","No","No","No","No"
"About once a day","About once a day","Private (friends only)","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes","Sometimes","Frequently","Never","Yes","Parent","No","No","No","No","Yes","No","No"
"Several times a day","About once a day","Private (friends only)","Yes","People are mostly kind","No","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Sometimes","Sometimes","Never","No",,"No","No","No","No","Yes","No","Yes"
"Several times a day",,,"Yes",,,"No, do not","No, do not","No, do not",,,,,,,,,,,,,,,"No","No"
"Less often",,,"No",,,"No, do not","No, do not","No, do not",,,,,,,,,,,,,,,"No","No"
"About once a day","About once a day","Public","Yes","Depends","No","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes","Never","Never","Never","No",,"Yes","No","No","No","Yes","Yes","No"
"Several times a day","About once a day","Partially private","Yes","People are mostly kind","No","Yes","No, do not","Yes","Yes","Yes","Yes","Yes","Frequently","Sometimes","Sometimes","No",,"No","Yes","No","No","Yes","Yes","No"
"Several times a day","3-5 days a week","Private (friends only)","Yes","People are mostly kind","Yes","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Only once in a while","Only once in a while","Never","Yes","Teacher","Yes","Yes","Yes","Yes","Yes","No","No"
"Several times a day","Several times a day","Partially private","No","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes","Sometimes","Sometimes","Only once in a while","No",,"Yes","No","No","No","Yes","Yes","No"
"Several times a day","Several times a day","Private (friends only)","Yes","People are mostly kind","No","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Frequently","Sometimes","Never","Yes","Friend or peer","No","No","Yes","No","No","Yes","No"
"Several times a day","Several times a day","Public","Yes","Depends","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Sometimes","Sometimes","Never","No",,"Yes","No","Yes","No","Yes","Yes","Yes"
"Several times a day","Less often","Private (friends only)","No","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes","Frequently","Frequently","Never","Yes","Parent","No","No","Yes","No","No","Yes","No"
"About once a day","1-2 days a week","Public","Yes","People are mostly unkind","Yes","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Sometimes","Frequently","Never","No",,"No","No","No","No","Yes","No","Yes"
"About once a day","About once a day","Don't know","Yes","People are mostly kind","Yes","Yes","Yes","No, do not","Yes","No","Yes","No","Frequently","Only once in a while","Never","Yes","Friend or peer","Yes","Yes","No","Yes","Yes","Yes","No"
"3-5 days a week",,,"No",,,"No, do not","Yes","No, do not",,,,,,,,,,,,,,,"Yes","No"
"About once a day","1-2 days a week","Private (friends only)","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes","Sometimes","Sometimes","Never","No",,"No","No","No","No","Yes","Yes","No"
"About once a day","About once a day","Private (friends only)","No","People are mostly unkind","No","Yes","No, do not","No, do not","No","No","No","No","Only once in a while","Frequently","Never","No",,"No","No","No","No","No","No","No"
"3-5 days a week",,,"No",,,"No, do not","No, do not","No, do not",,,,,,,,,,,,,,,"No","No"
"Several times a day","About once a day","Public","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","No","No","Yes","Only once in a while","Never","Never","No",,"Yes","No","No","No","Yes","No","No"
"Several times a day","Several times a day","Public","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","No","Yes","Frequently","Sometimes","Never","Yes","Brother, sister or cousin","No","No","No","No","Yes","No","No"
"Several times a day","About once a day","Don't know","Yes","People are mostly kind","No","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Only once in a while","Never","Never","No",,"No","No","No","No","Yes","Yes","Yes"
"3-5 days a week","3-5 days a week","Partially private","No","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes",,,,,,"No","No","No","No","Yes","No","No"
"3-5 days a week","About once a day","Partially private","Yes","People are mostly unkind","No","Yes","No, do not","No, do not","Yes","No","Yes","Yes","Sometimes","Sometimes","Never","Yes","Parent","Yes","No","Yes","No","Yes","Yes","No"
"1-2 days a week",,,"No",,,"No, do not","Yes","No, do not",,,,,,,,,,,,,,,"No","Yes"
"3-5 days a week","1-2 days a week","Private (friends only)","No","People are mostly unkind","No","Yes","Yes","No, do not","Yes","Yes","No","Yes","Never","Sometimes","Never","No",,"No","No","No","No","Yes","No","Yes"
"Several times a day","Several times a day","Private (friends only)","No","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","No","No",,,,,,"No","No","No","No","Yes","Yes","No"
"About once a day","About once a day","Public","Yes","People are mostly unkind","No","Yes","No, do not","No, do not","Yes","No","No","Yes","Only once in a while","Only once in a while","Never","No",,"No","No","No","No","No","No","Yes"
"1-2 days a week","Several times a day","Private (friends only)","No","People are mostly kind","No","Yes","No, do not","No, do not","No","No","No","Yes","Never","Sometimes","Sometimes","No",,"No","No","No","No","No","Yes","No"
"Several times a day",,,"No",,,"No, do not","Yes","No, do not",,,,,,,,,,,,,,,"No","No"
"About once a day","1-2 days a week","Partially private","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes","Frequently","Frequently","Never","No",,"No","No","No","No","Yes","No","No"
"3-5 days a week",,,"No",,,"No, do not","No, do not","No, do not",,,,,,,,,,,,,,,"No","No"
"About once a day","About once a day","Partially private","Yes","People are mostly unkind","No","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Frequently","Sometimes","Sometimes","No",,"Yes","No","No","No","Yes","No","No"
"Several times a day","Several times a day","Private (friends only)","No","People are mostly kind","No","Yes","Yes","No, do not","Yes","Yes","No","Yes","Only once in a while","Never","Never","No",,"No","No","No","No","Yes","No","No"
"About once a day",,,"Yes",,,"No, do not","Yes","No, do not",,,,,,,,,,,,,,,"No","No"
"About once a day","3-5 days a week","Private (friends only)","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","No","No","Yes","Only once in a while","Sometimes","Never","No",,"No","No","No","No","Yes","No","No"
"About once a day","About once a day","Private (friends only)","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes","Sometimes","Sometimes","Never","Yes","Friend or peer","No","No","No","No","No","No","No"
"About once a day",,,"No",,,"No, do not","No, do not","No, do not",,,,,,,,,,,,,,,"No","No"
"Several times a day","Several times a day","Partially private","Yes","People are mostly kind","No","Yes","No, do not","Yes","Yes","Yes","Yes","Yes","Only once in a while","Only once in a while","Never","No",,"No","No","No","No","Yes","Yes","No"
"Several times a day","3-5 days a week","Private (friends only)","No","People are mostly kind","No","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Frequently","Never","Never","No",,"No","No","No","No","Yes","No","No"
"1-2 days a week","1-2 days a week","Private (friends only)","Yes","People are mostly kind","No","Yes","No, do not","No, do not","No","No","No","No",,,,,,"No","No","No","No","No","Yes","No"
"About once a day","About once a day","Public","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes","Sometimes","Sometimes","Never","Yes","Brother, sister or cousin","No","No","No","No","Yes","No","No"
"Several times a day","Several times a day","Partially private","Yes","People are mostly unkind","Yes","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Frequently","Frequently","Only once in a while","Yes","Friend or peer","No","No","Yes","No","Yes","Yes","Yes"
"Several times a day","Several times a day","Private (friends only)","Yes","People are mostly kind","No","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Sometimes","Sometimes","Never","No",,"No","No","No","No","No","Yes","No"
"Several times a day","Several times a day","Partially private","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","Yes","No","Frequently","Frequently","Never","No",,"No","Yes","No","No","Yes","Yes","No"
"Several times a day","Several times a day","Private (friends only)","Yes","People are mostly kind","Yes","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Frequently","Frequently","Never","No",,"No","No","Yes","No","Yes","No","No"
"1-2 days a week",,,"No",,,"No, do not","No, do not","No, do not",,,,,,,,,,,,,,,"Yes","No"
"3-5 days a week","About once a day","Private (friends only)","Yes","People are mostly kind","Yes","Yes","No, do not","No, do not","Yes","No","No","Yes",,,,,,"No","No","No","No","No","No","No"
"1-2 days a week","1-2 days a week","Private (friends only)","No","Depends","No","Yes","No, do not","No, do not","No","Yes","Yes","Yes","Never","Never","Only once in a while","Yes","Parent","Yes","No","Yes","No","Yes","Yes","Yes"
"Several times a day","Several times a day","Private (friends only)","Yes","Depends","No","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Frequently","Sometimes","Never","Yes","Someone or something else","No","No","No","No","Yes","No","Yes"
"About once a day",,,"Yes",,,"No, do not","Yes","No, do not",,,,,,,,,,,,,,,"No","Yes"
"About once a day","About once a day","Private (friends only)","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes","Sometimes","Sometimes","Never","No",,"No","Yes","No","No","Yes","No","Yes"
"About once a day","Several times a day","Private (friends only)","Yes","People are mostly kind","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Never","Sometimes","Never","No",,"No","No","No","Yes","Yes","Yes","Yes"
"Several times a day",,,"Yes",,,"No, do not","Yes","No, do not",,,,,,,,,,,,,,,"No","No"
"Several times a day","Several times a day","Partially private","Yes","Depends","No","Yes","No, do not","No, do not","No","No","Yes","Yes","Sometimes","Sometimes","Only once in a while","No",,"Yes","No","No","No","Yes","Yes","No"
"3-5 days a week","3-5 days a week","Private (friends only)","Yes","People are mostly kind","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Never","Only once in a while","Never","Yes","Parent","No","No","No","No","Yes","Yes","No"
"3-5 days a week","About once a day","Private (friends only)","Yes","People are mostly kind","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Only once in a while","Only once in a while","Never","No",,"No","Yes","Yes","No","Yes","Yes","No"
"Several times a day","Several times a day","Private (friends only)","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes","Sometimes","Frequently","Never","No",,"Yes","Yes","Yes","No","Yes","Yes","Yes"
"Several times a day","Several times a day","Private (friends only)","Yes","People are mostly kind","No","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Frequently","Sometimes","Never","No",,"No","No","No","No","Yes","No","Yes"
"Several times a day","About once a day","Private (friends only)","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes","Frequently","Only once in a while","Never","No",,"No","No","No","No","Yes","No","No"
"Several times a day","Several times a day","Public","Yes","People are mostly kind","No","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Only once in a while","Only once in a while","Frequently","No",,"Yes","No","No","No","Yes","Yes","No"
"Several times a day","About once a day","Private (friends only)","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes","Frequently","Only once in a while","Never","Yes","Friend or peer","No","No","No","No","Yes","Yes","Yes"
"About once a day",,,"Yes",,,"No, do not","Yes","Yes",,,,,,,,,,,,,,,"Yes","No"
"About once a day","About once a day","Private (friends only)","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes","Sometimes","Only once in a while","Never","No",,"No","No","No","No","Yes","Yes","Yes"
"About once a day",,,"No",,,"No, do not","Yes","No, do not",,,,,,,,,,,,,,,"No","Yes"
"3-5 days a week","Every few weeks","Private (friends only)","Yes","People are mostly kind","No","Yes","Yes","No, do not","No","Yes","No","No","Frequently","Sometimes","Never","Yes","Parent","No","No","No","No","Yes","No","No"
"Several times a day","3-5 days a week","Public","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","No","Yes","Sometimes","Sometimes","Never","No",,"Yes","No","No","No","Yes","No","No"
"About once a day","1-2 days a week","Public","No","People are mostly kind","No","Yes","Yes","No, do not","Yes","Yes","No","No","Only once in a while","Never","Never","No",,"No","No","No","No","No","Yes","No"
"About once a day",,,"No",,,"No, do not","No, do not","No, do not",,,,,,,,,,,,,,,"No","No"
"3-5 days a week","Several times a day","Partially private","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","No","No","No","Never","Never","Never","No",,"No","No","Yes","No","Yes","No","No"
"Several times a day","Several times a day","Private (friends only)","Yes","People are mostly kind","No","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Only once in a while","Sometimes","Never","No",,"No","No","No","No","No","No","No"
"About once a day","About once a day","Partially private","Yes","People are mostly kind","No","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Never","Only once in a while","Never","No",,"No","No","No","No","Yes","Yes","Yes"
"About once a day","3-5 days a week","Private (friends only)","Yes","People are mostly kind","No","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Only once in a while","Sometimes","Never","No",,"No","No","No","No","Yes","No","Yes"
"Several times a day","Several times a day","Private (friends only)","No","People are mostly kind","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Yes","Sometimes","Sometimes","Sometimes","Yes","Parent","No","No","No","No","Yes","No","No"
"About once a day",,,"Yes",,,"No, do not","No, do not","No, do not",,,,,,,,,,,,,,,"No","Yes"
"About once a day","About once a day","Private (friends only)","No","People are mostly kind","No","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Only once in a while","Only once in a while","Never","No",,"Yes","No","No","No","Yes","No","No"
"About once a day",,,"No",,,"No, do not","No, do not","No, do not",,,,,,,,,,,,,,,"No","No"
"About once a day",,,"No",,,"No, do not","No, do not","No, do not",,,,,,,,,,,,,,,"No","No"
"About once a day",,,"Yes",,,"No, do not","No, do not","No, do not",,,,,,,,,,,,,,,"No","No"
"About once a day","Several times a day","Partially private","Yes","People are mostly kind","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Only once in a while","Sometimes","Never","No",,"Yes","Yes","No","No","Yes","No","No"
"About once a day",,,"No",,,"No, do not","No, do not","No, do not",,,,,,,,,,,,,,,"No","No"
"Several times a day",,,"Yes",,,"No, do not","Yes","No, do not",,,,,,,,,,,,,,,"No","No"
"About once a day","Several times a day","Private (friends only)","Yes","People are mostly kind","No","Yes","Yes","No, do not","Yes","Yes","No","Yes","Only once in a while","Sometimes","Never","No",,"No","No","No","No","No","No","Yes"
"Several times a day","Several times a day","Partially private","Yes","People are mostly kind","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Frequently","Never","Never","Yes","Parent","No","Yes","Yes","No","Yes","Yes","No"
"Several times a day",,,"Yes",,,"No, do not","Yes","No, do not",,,,,,,,,,,,,,,"No","No"
"Several times a day",,,"No",,,"No, do not","No, do not","No, do not",,,,,,,,,,,,,,,"No","No"
"Several times a day","Less often","Public","No","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes","Frequently","Frequently","Never","No",,"Yes","No","No","No","Don't know","No","Yes"
"Several times a day","Several times a day","Private (friends only)","No","People are mostly kind","No","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Sometimes","Sometimes","Only once in a while","Yes","Friend or peer","Yes","No","Yes","Yes","No","Yes","No"
"Several times a day",,,"No",,,"No, do not","Yes","No, do not",,,,,,,,,,,,,,,"Yes","No"
"Several times a day",,,"No",,,"No, do not","No, do not","No, do not",,,,,,,,,,,,,,,"No","No"
"Several times a day","Several times a day","Private (friends only)","Yes","People are mostly kind","Yes","Yes","Yes","No, do not","Yes","Yes","Yes","No","Only once in a while","Only once in a while","Only once in a while","No",,"No","No","No","No","No","Yes","No"
"Several times a day","Several times a day","Private (friends only)","No","People are mostly kind","No","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Only once in a while","Sometimes","Never","No",,"No","No","No","No","Yes","Yes","No"
"Several times a day","Several times a day","Partially private","Yes","People are mostly kind","No","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Frequently","Sometimes","Never","Yes","Brother, sister or cousin","Yes","No","Yes","Yes","Yes","No","No"
"Several times a day","About once a day","Private (friends only)","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes","Only once in a while","Only once in a while","Never","No",,"No","No","No","No","No","Yes","Yes"
"Several times a day","About once a day","Public","Yes","People are mostly kind","Yes","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes","Only once in a while","Frequently","Only once in a while","No",,"No","Yes","Yes","No","No","No","Yes"
"Several times a day","About once a day","Private (friends only)","Yes","People are mostly kind","No","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Only once in a while","Only once in a while","Never","No",,"No","No","No","No","Yes","Yes","No"
"Several times a day","Several times a day","Private (friends only)","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","No","Yes","Yes","Only once in a while","Never","Never","No",,"No","No","No","No","No","Yes","Yes"
"Several times a day","1-2 days a week","Private (friends only)","Yes","People are mostly kind","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,,,,,"No","No","No","No","Yes","Yes","Yes"
"About once a day","1-2 days a week","Public","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","No","Yes","Yes","Never","Never","Never","No",,"No","No","No","No","Yes","No","No"
"About once a day","3-5 days a week","Private (friends only)","Yes","People are mostly unkind","No","Yes","Yes","No, do not","Yes","No","Yes","Yes","Sometimes","Frequently","Never","No",,"No","No","No","Yes","Yes","No","No"
"About once a day",,,"No",,,"No, do not","No, do not","No, do not",,,,,,,,,,,,,,,"Yes","No"
"1-2 days a week","Every few weeks","Private (friends only)","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes","Frequently","Frequently","Never","Yes","Parent","Yes","Yes","Yes","Yes","Yes","No","No"
"Several times a day","About once a day","Partially private","No","People are mostly kind","No","Yes","No, do not","No, do not","Yes","No","Yes","Yes","Frequently","Never","Never","No",,"No","No","No","No","No","Yes","No"
"Several times a day","3-5 days a week","Private (friends only)","Yes","People are mostly unkind","No","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Never","Don't know","Never","No",,"No","No","No","No","Yes","Yes","Yes"
"About once a day","About once a day","Partially private","Yes","People are mostly kind","No","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Sometimes","Never","Never","No",,"No","No","No","No","Yes","Yes","No"
"Several times a day","Several times a day","Private (friends only)","Don't know","People are mostly kind","No","Yes","No, do not","No, do not","No","No","No","No","Sometimes","Never","Never","Yes","Teacher","No","No","No","No","Yes","No","Yes"
"Less often","1-2 days a week","Public","No","People are mostly unkind","Yes","Yes","No, do not","No, do not","Yes","No","Yes","Yes","Sometimes","Never","Never","No",,"No","No","No","No","Yes","No","No"
"3-5 days a week","3-5 days a week","Public","Yes","People are mostly kind","Yes","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Only once in a while","Sometimes","Never","Yes","Brother, sister or cousin","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Several times a day","Less often","Public","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","No","Yes","Yes","Never","Never","Never","No",,"No","No","No","No","Yes","Yes","Yes"
"Several times a day","Several times a day","Private (friends only)","Yes","People are mostly unkind","No","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Only once in a while","Only once in a while","Never","No",,"No","No","No","No","No","Yes","Yes"
"Several times a day","Several times a day","Private (friends only)","Yes","People are mostly kind","No","Yes","No, do not","Yes","Yes","Yes","Yes","No","Only once in a while","Frequently","Never","No",,"No","No","No","No","Yes","Yes","No"
"About once a day","1-2 days a week","Private (friends only)","No","People are mostly unkind","No","Yes","Yes","No, do not","Yes","Yes","No","Yes","Only once in a while","Sometimes","Never","No",,"No","No","No","No","Yes","No","No"
"About once a day","3-5 days a week","Private (friends only)","Yes","People are mostly kind","No","Yes","Yes","No, do not","No","Yes","No","No","Sometimes","Sometimes","Don't know","Yes","Friend or peer","No","No","No","Yes","No","Yes","No"
"Several times a day",,,"Yes",,,"No, do not","No, do not","No, do not",,,,,,,,,,,,,,,"No","No"
"About once a day",,,"Yes",,,"No, do not","No, do not","No, do not",,,,,,,,,,,,,,,"No","No"
"About once a day",,,"Yes",,,"No, do not","No, do not","No, do not",,,,,,,,,,,,,,,"Yes","No"
"Several times a day",,,"Yes",,,"No, do not","No, do not","No, do not",,,,,,,,,,,,,,,"Yes","Yes"
"About once a day","Several times a day","Partially private","Yes","People are mostly unkind","No","Yes","No, do not","Yes","Yes","Yes","Yes","Yes","Sometimes","Frequently","Never","Yes","Friend or peer","No","Yes","No","Yes","Yes","Yes","No"
"Several times a day","About once a day","Private (friends only)","Yes","Depends","No","Yes","Yes","No, do not","Yes","Yes","No","No","Sometimes","Sometimes","Never","No",,"No","Yes","No","No","No","Yes","Yes"
